Index,Category,Landmark_X,Landmark_Y,User_ID
1,left_eye_border,203,249,1
1,left_eye_border,205,247,1
1,left_eye_border,208,244,1
1,left_eye_border,213,241,1
1,left_eye_border,220,239,1
1,left_eye_border,227,238,1
1,left_eye_border,234,239,1
1,left_eye_border,239,241,1
1,left_eye_border,242,242,1
1,left_eye_border,240,244,1
1,left_eye_border,236,245,1
1,left_eye_border,230,248,1
1,left_eye_border,223,250,1
1,left_eye_border,216,251,1
1,left_eye_border,211,251,1
1,left_eye_border,207,250,1
1,right_eye_border,296,233,1
1,right_eye_border,299,231,1
1,right_eye_border,304,227,1
1,right_eye_border,311,224,1
1,right_eye_border,318,223,1
1,right_eye_border,326,222,1
1,right_eye_border,332,224,1
1,right_eye_border,335,225,1
1,right_eye_border,338,227,1
1,right_eye_border,335,230,1
1,right_eye_border,331,232,1
1,right_eye_border,325,233,1
1,right_eye_border,318,234,1
1,right_eye_border,311,235,1
1,right_eye_border,304,234,1
1,right_eye_border,299,234,1
1,face_grid,257,174,1
1,face_grid,284,170,1
1,face_grid,308,170,1
1,face_grid,331,176,1
1,face_grid,349,187,1
1,face_grid,363,203,1
1,face_grid,373,220,1
1,face_grid,381,242,1
1,face_grid,384,262,1
1,face_grid,381,276,1
1,face_grid,385,305,1
1,face_grid,379,328,1
1,face_grid,371,346,1
1,face_grid,361,358,1
1,face_grid,350,370,1
1,face_grid,339,378,1
1,face_grid,327,386,1
1,face_grid,313,392,1
1,face_grid,293,397,1
1,face_grid,274,398,1
1,face_grid,259,395,1
1,face_grid,247,391,1
1,face_grid,236,386,1
1,face_grid,224,378,1
1,face_grid,214,368,1
1,face_grid,204,354,1
1,face_grid,193,334,1
1,face_grid,187,314,1
1,face_grid,183,295,1
1,face_grid,179,275,1
1,face_grid,177,253,1
1,face_grid,179,235,1
1,face_grid,184,216,1
1,face_grid,195,200,1
1,face_grid,212,187,1
1,face_grid,232,179,1
1,right_pupil,322,227,1
1,right_pupil,331,226,1
1,right_pupil,320,219,1
1,right_pupil,312,228,1
1,right_pupil,323,235,1
1,left_pupil,222,243,1
1,left_pupil,232,241,1
1,left_pupil,221,235,1
1,left_pupil,213,245,1
1,left_pupil,224,251,1
2,left_eye_border,203,239,1
2,left_eye_border,205,237,1
2,left_eye_border,208,234,1
2,left_eye_border,212,230,1
2,left_eye_border,219,228,1
2,left_eye_border,225,227,1
2,left_eye_border,232,228,1
2,left_eye_border,236,230,1
2,left_eye_border,238,232,1
2,left_eye_border,236,233,1
2,left_eye_border,233,235,1
2,left_eye_border,228,237,1
2,left_eye_border,222,239,1
2,left_eye_border,215,240,1
2,left_eye_border,210,240,1
2,left_eye_border,206,240,1
2,right_eye_border,292,222,1
2,right_eye_border,294,219,1
2,right_eye_border,298,216,1
2,right_eye_border,304,213,1
2,right_eye_border,311,211,1
2,right_eye_border,317,211,1
2,right_eye_border,323,213,1
2,right_eye_border,326,215,1
2,right_eye_border,329,216,1
2,right_eye_border,326,219,1
2,right_eye_border,323,220,1
2,right_eye_border,318,221,1
2,right_eye_border,311,223,1
2,right_eye_border,305,223,1
2,right_eye_border,298,223,1
2,right_eye_border,294,222,1
2,face_grid,255,163,1
2,face_grid,281,160,1
2,face_grid,304,161,1
2,face_grid,328,167,1
2,face_grid,347,180,1
2,face_grid,362,197,1
2,face_grid,372,217,1
2,face_grid,380,240,1
2,face_grid,382,263,1
2,face_grid,379,274,1
2,face_grid,382,308,1
2,face_grid,377,331,1
2,face_grid,368,348,1
2,face_grid,359,360,1
2,face_grid,346,370,1
2,face_grid,334,377,1
2,face_grid,321,384,1
2,face_grid,306,390,1
2,face_grid,287,394,1
2,face_grid,267,396,1
2,face_grid,253,394,1
2,face_grid,241,391,1
2,face_grid,230,388,1
2,face_grid,218,381,1
2,face_grid,210,372,1
2,face_grid,202,358,1
2,face_grid,194,337,1
2,face_grid,187,316,1
2,face_grid,183,296,1
2,face_grid,179,274,1
2,face_grid,178,250,1
2,face_grid,180,229,1
2,face_grid,186,209,1
2,face_grid,196,191,1
2,face_grid,213,178,1
2,face_grid,231,169,1
2,right_pupil,310,216,1
2,right_pupil,319,215,1
2,right_pupil,309,208,1
2,right_pupil,302,217,1
2,right_pupil,311,224,1
2,left_pupil,219,233,1
2,left_pupil,227,231,1
2,left_pupil,218,225,1
2,left_pupil,211,234,1
2,left_pupil,220,241,1
3,left_eye_border,204,239,1
3,left_eye_border,206,237,1
3,left_eye_border,209,235,1
3,left_eye_border,213,232,1
3,left_eye_border,220,230,1
3,left_eye_border,225,230,1
3,left_eye_border,231,229,1
3,left_eye_border,236,230,1
3,left_eye_border,238,231,1
3,left_eye_border,236,232,1
3,left_eye_border,232,234,1
3,left_eye_border,226,236,1
3,left_eye_border,221,237,1
3,left_eye_border,214,239,1
3,left_eye_border,210,239,1
3,left_eye_border,207,240,1
3,right_eye_border,290,222,1
3,right_eye_border,292,220,1
3,right_eye_border,297,217,1
3,right_eye_border,304,215,1
3,right_eye_border,310,214,1
3,right_eye_border,316,215,1
3,right_eye_border,321,216,1
3,right_eye_border,325,217,1
3,right_eye_border,328,218,1
3,right_eye_border,324,220,1
3,right_eye_border,321,221,1
3,right_eye_border,316,222,1
3,right_eye_border,310,223,1
3,right_eye_border,303,223,1
3,right_eye_border,297,223,1
3,right_eye_border,293,222,1
3,face_grid,255,163,1
3,face_grid,281,160,1
3,face_grid,305,161,1
3,face_grid,328,167,1
3,face_grid,346,179,1
3,face_grid,360,196,1
3,face_grid,370,215,1
3,face_grid,377,238,1
3,face_grid,380,260,1
3,face_grid,376,272,1
3,face_grid,380,303,1
3,face_grid,375,327,1
3,face_grid,367,344,1
3,face_grid,357,356,1
3,face_grid,344,367,1
3,face_grid,333,374,1
3,face_grid,320,381,1
3,face_grid,304,387,1
3,face_grid,284,392,1
3,face_grid,265,393,1
3,face_grid,250,390,1
3,face_grid,238,387,1
3,face_grid,227,382,1
3,face_grid,215,375,1
3,face_grid,206,366,1
3,face_grid,197,351,1
3,face_grid,188,331,1
3,face_grid,182,310,1
3,face_grid,179,290,1
3,face_grid,176,269,1
3,face_grid,176,246,1
3,face_grid,178,226,1
3,face_grid,184,206,1
3,face_grid,195,190,1
3,face_grid,211,177,1
3,face_grid,230,169,1
3,right_pupil,311,217,1
3,right_pupil,319,216,1
3,right_pupil,310,210,1
3,right_pupil,302,218,1
3,right_pupil,311,225,1
3,left_pupil,220,233,1
3,left_pupil,228,231,1
3,left_pupil,218,225,1
3,left_pupil,212,234,1
3,left_pupil,221,240,1
4,left_eye_border,197,245,1
4,left_eye_border,199,242,1
4,left_eye_border,201,239,1
4,left_eye_border,206,236,1
4,left_eye_border,213,233,1
4,left_eye_border,219,233,1
4,left_eye_border,226,233,1
4,left_eye_border,232,235,1
4,left_eye_border,234,237,1
4,left_eye_border,232,238,1
4,left_eye_border,228,240,1
4,left_eye_border,222,242,1
4,left_eye_border,216,244,1
